mppi_config,mppi_model,sim_model,track_choice,dt,V_target,t,x,y,yaw,vx,vy,omega,throttle,steering,speed,beta,comp_sat
"{'device': 'cpu', 'mppi_mode': 'simple', 'sampling_method': 'random', 'num_samples': 30, 'horizon': 12, 'lambda_': 0.1, 'u_min': [0.0, -1.0], 'u_max': [1.0, 1.0], 'noise_sigma': [[0.5, 0.0], [0.0, 0.5]], 'update_cov': False, 'rollout_var_discount': 0.95, 'sample_null_action': True, 'noise_abs_cost': False, 'filter_u': True, 'use_priors': True, 'u_per_command': 12}",Dynamic_Bicycle,dynamic,racetrack_vicon_2,0.05,2.5,1756197490.7278223,-1.4888422073715313,-2.199350355985512,0.007805854505778308,0.2149658352136612,0.0167053434997797,0.16362139582633972,0.7527211904525757,0.30784305930137634,0.21561395782869108,0.07755574935850545,1
,,,,,,1756197490.7797165,-1.4702598981291752,-2.197723831030741,0.02442160922723941,0.5945143103599548,0.041312504559755325,0.5382850766181946,0.7527211904525757,0.30784305930137634,0.5959479744539556,0.0693779768658887,1
,,,,,,1756197490.8308094,-1.4338321557497424,-2.1938963227411965,0.055119063996175124,0.8960078954696655,0.05649938806891441,0.5933187007904053,0.509791910648346,0.2905046045780182,0.8977874634879577,0.06297342129289991,1
,,,,,,1756197490.8813453,-1.3863099801219017,-2.187696116970818,0.09005487588255896,1.0456782579421997,0.06158066168427467,0.805413544178009,0.509791910648346,0.2905046045780182,1.0474899507997708,0.05882270147242332,1
,,,,,,1756197490.9334257,-1.3328449359019297,-2.1778532738902974,0.1473879188193574,1.1033262014389038,0.14042708277702332,1.9202040433883667,0.4071626663208008,1.040812373161316,1.1122268079662825,0.12659547017388048,1
,,,,,,1756197490.983996,-1.2797489304315501,-2.1617973070905405,0.21610259673408178,1.0694854259490967,0.00973569881170988,-0.1852877289056778,0.08770482242107391,-0.10661083459854126,1.0695297378515816,0.009102910300929063,0
,,,,,,1756197491.034638,-1.228477666058592,-2.152889868924637,0.1802801247175609,1.0018996000289917,-0.1273091435432434,-1.795630931854248,0.3429263234138489,-0.8800361752510071,1.009955655743344,-0.12639042756251723,0
,,,,,,1756197491.085177,-1.1770400358495507,-2.152475543885497,0.09345008485651103,1.1158511638641357,-0.1180245578289032,-1.3689794540405273,0.6121642589569092,-0.4352397918701172,1.1220755839726906,-0.10537906864722182,0
,,,,,,1756197491.1359088,-1.1169303739888137,-2.1526225611619196,0.055723043892359464,1.3438798189163208,0.05864005535840988,1.3532741069793701,0.8771610856056213,0.9414684772491455,1.3451585868524947,0.04360723334331002,0
,,,,,,1756197491.1865282,-1.0474756798034814,-2.1411778988830905,0.1410197559327105,1.3894027471542358,0.10620896518230438,1.4733524322509766,0.10568301379680634,0.4699256718158722,1.3934562562509214,0.07629379866051367,0
