mppi_config,mppi_model,sim_model,track_choice,dt,V_target,t,x,y,yaw,vx,vy,omega,throttle,steering,speed,beta,comp_sat
"{'device': 'cpu', 'mppi_mode': 'simple', 'sampling_method': 'random', 'num_samples': 30, 'horizon': 12, 'lambda_': 0.1, 'u_min': [0.0, -1.0], 'u_max': [1.0, 1.0], 'noise_sigma': [[0.5, 0.0], [0.0, 0.5]], 'update_cov': False, 'rollout_var_discount': 0.95, 'sample_null_action': True, 'noise_abs_cost': False, 'filter_u': True, 'use_priors': True, 'u_per_command': 12}",Kinematic_Bicycle,dynamic,racetrack_vicon_2,0.05,2.5,1756197413.9561958,-1.499999997521114,-2.200000000002037,-4.1344868475303404e-11,0.10576017946004868,0.002966688945889473,0.0785018727183342,0.823214590549469,0.13038241863250732,0.10580178071622125,0.028043741995302934,1
,,,,,,1756197414.0068562,-1.485314191592832,-2.1995468959258946,0.005758103171254293,0.5603501200675964,0.015274249017238617,0.17656245827674866,0.823214590549469,0.13038241863250732,0.5605582572247156,0.02725165415208745,1
,,,,,,1756197414.0575967,-1.4494518632758728,-2.1982333924945627,0.017083556230219232,0.8803107142448425,-0.022675950080156326,0.24460962414741516,0.6196250319480896,-0.7265047430992126,0.8806027210532015,-0.025753334971342568,1
,,,,,,1756197414.1084344,-1.4025787475040619,-2.203707546175635,-0.059140311839211965,1.0391006469726562,-0.16049005091190338,-2.0328991413116455,0.6196250319480896,-0.7265047430992126,1.0514215191733038,-0.15324005777022917,1
,,,,,,1756197414.1590793,-1.3435585762928293,-2.217052125465774,-0.15022007831163164,1.4351227283477783,-0.12517915666103363,-1.6295809745788574,0.9488575458526611,-0.38383299112319946,1.4405717846337054,-0.0870051947099971,0
,,,,,,1756197414.199856,-1.2849708474496677,-2.232241115149396,-0.2157056855035678,1.6066302061080933,-0.10264486819505692,-1.523102879524231,0.551565408706665,-0.3175225257873535,1.6099057699585135,-0.06380158492533922,0
,,,,,,1756197414.2513585,-1.207793995561619,-2.255117891713268,-0.2595507411429843,1.5906484127044678,0.03235219419002533,0.9334826469421387,0.29252398014068604,0.47507011890411377,1.5909773842855692,0.020336193682115603,0
,,,,,,1756197414.3020074,-1.1294514319391202,-2.269860324800777,-0.18361428744985772,1.6620808839797974,0.12686185538768768,2.215090751647949,0.689734935760498,0.6366608738899231,1.6669153533528547,0.07617941801254598,0
,,,,,,1756197414.353982,-1.043669604716428,-2.2751129050217678,-0.06872100269226716,1.7088321447372437,0.12420345097780228,2.170426368713379,0.17280761897563934,0.6501319408416748,1.7133399534599325,0.07255564909381017,0
,,,,,,1756197414.4046674,-0.9606184239271284,-2.271183476584974,0.03602623903413863,1.5985057353973389,0.07326560467481613,0.6637622117996216,0.0010078345658257604,0.0006854466628283262,1.6001838753488782,0.04580175327322293,0
